"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TOTFLOW","TOT","MLN_USD","A","1960",586.124182,
"AUS","TOTFLOW","TOT","MLN_USD","A","1961",700.712048,
"AUS","TOTFLOW","TOT","MLN_USD","A","1962",721.729475,
"AUS","TOTFLOW","TOT","MLN_USD","A","1963",919.783227,
"AUS","TOTFLOW","TOT","MLN_USD","A","1964",1096.382446,
"AUS","TOTFLOW","TOT","MLN_USD","A","1965",1298.983593,
"AUS","TOTFLOW","TOT","MLN_USD","A","1966",1362.087429,
"AUS","TOTFLOW","TOT","MLN_USD","A","1967",1659.996413,
"AUS","TOTFLOW","TOT","MLN_USD","A","1968",1671.718345,
"AUS","TOTFLOW","TOT","MLN_USD","A","1969",1888.372828,
"AUS","TOTFLOW","TOT","MLN_USD","A","1970",2986.427902,
"AUS","TOTFLOW","TOT","MLN_USD","A","1971",3705.363159,
"AUS","TOTFLOW","TOT","MLN_USD","A","1972",2771.931184,
"AUS","TOTFLOW","TOT","MLN_USD","A","1973",1656.533428,
"AUS","TOTFLOW","TOT","MLN_USD","A","1974",2055.377766,
"AUS","TOTFLOW","TOT","MLN_USD","A","1975",2301.257525,
"AUS","TOTFLOW","TOT","MLN_USD","A","1976",1785.533353,
"AUS","TOTFLOW","TOT","MLN_USD","A","1977",2065.635304,
"AUS","TOTFLOW","TOT","MLN_USD","A","1978",2201.797537,
"AUS","TOTFLOW","TOT","MLN_USD","A","1979",2545.942829,
"AUS","TOTFLOW","TOT","MLN_USD","A","1980",2281.470199,
"AUS","TOTFLOW","TOT","MLN_USD","A","1981",1928.05216,
"AUS","TOTFLOW","TOT","MLN_USD","A","1982",2890.083937,
"AUS","TOTFLOW","TOT","MLN_USD","A","1983",2328.643372,
"AUS","TOTFLOW","TOT","MLN_USD","A","1984",3595.864321,
"AUS","TOTFLOW","TOT","MLN_USD","A","1985",3481.5967,
"AUS","TOTFLOW","TOT","MLN_USD","A","1986",2902.236611,
"AUS","TOTFLOW","TOT","MLN_USD","A","1987",2269.492336,
"AUS","TOTFLOW","TOT","MLN_USD","A","1988",7313.490971,
"AUS","TOTFLOW","TOT","MLN_USD","A","1989",2890.734703,
"AUS","TOTFLOW","TOT","MLN_USD","A","1990",2795.126178,
"AUS","TOTFLOW","TOT","MLN_USD","A","1991",-3794.228162,
"AUS","TOTFLOW","TOT","MLN_USD","A","1992",7768.267293,
"AUS","TOTFLOW","TOT","MLN_USD","A","1993",4152.810321,
"AUS","TOTFLOW","TOT","MLN_USD","A","1994",3911.280625,
"AUS","TOTFLOW","TOT","MLN_USD","A","1995",4450.139347,
"AUS","TOTFLOW","TOT","MLN_USD","A","1996",-1174.225874,
"AUS","TOTFLOW","TOT","MLN_USD","A","1997",-5156.681288,
"AUS","TOTFLOW","TOT","MLN_USD","A","1998",2589.492778,
"AUS","TOTFLOW","TOT","MLN_USD","A","1999",4051.483691,
"AUS","TOTFLOW","TOT","MLN_USD","A","2000",3872.808893,
"AUS","TOTFLOW","TOT","MLN_USD","A","2001",2680.892126,
"AUS","TOTFLOW","TOT","MLN_USD","A","2002",1573.771123,
"AUS","TOTFLOW","TOT","MLN_USD","A","2003",4861.586361,
"AUS","TOTFLOW","TOT","MLN_USD","A","2004",3330.659815,
"AUS","TOTFLOW","TOT","MLN_USD","A","2005",6800.850633,
"AUS","TOTFLOW","TOT","MLN_USD","A","2006",11340.851407,
"AUS","TOTFLOW","TOT","MLN_USD","A","2007",11129.659717,
"AUS","TOTFLOW","TOT","MLN_USD","A","2008",3962.815456,
"AUS","TOTFLOW","TOT","MLN_USD","A","2009",3413.451149,
"AUS","TOTFLOW","TOT","MLN_USD","A","2010",12787.471153,
"AUS","TOTFLOW","TOT","MLN_USD","A","2011",13826.749231,
"AUS","TOTFLOW","TOT","MLN_USD","A","2012",16406.812688,
"AUS","TOTFLOW","TOT","MLN_USD","A","2013",18371.935232,
"AUS","TOTFLOW","TOT","MLN_USD","A","2014",27034.257831,
"AUS","TOTFLOW","TOT","MLN_USD","A","2015",14128.450023,
"AUS","TOTFLOW","TOT","MLN_USD","A","2016",15442.822346,
"AUS","TOTFLOW","TOT","MLN_USD","A","2017",254.294773,
"AUS","TOTFLOW","TOT","MLN_USD","A","2018",381.678792,
"AUS","TOTFLOW","TOT","MLN_USD","A","2019",5031.77,
"AUT","TOTFLOW","TOT","MLN_USD","A","1960",79.154519,
"AUT","TOTFLOW","TOT","MLN_USD","A","1961",267.259259,
"AUT","TOTFLOW","TOT","MLN_USD","A","1962",393.465528,
"AUT","TOTFLOW","TOT","MLN_USD","A","1963",72.354357,
"AUT","TOTFLOW","TOT","MLN_USD","A","1964",253.109474,
"AUT","TOTFLOW","TOT","MLN_USD","A","1965",533.28578,
"AUT","TOTFLOW","TOT","MLN_USD","A","1966",534.247899,
"AUT","TOTFLOW","TOT","MLN_USD","A","1967",501.005216,
"AUT","TOTFLOW","TOT","MLN_USD","A","1968",751.460157,
"AUT","TOTFLOW","TOT","MLN_USD","A","1969",794.922657,
"AUT","TOTFLOW","TOT","MLN_USD","A","1970",897.646787,
"AUT","TOTFLOW","TOT","MLN_USD","A","1971",787.611631,
"AUT","TOTFLOW","TOT","MLN_USD","A","1972",814.672875,
"AUT","TOTFLOW","TOT","MLN_USD","A","1973",828.242111,
"AUT","TOTFLOW","TOT","MLN_USD","A","1974",1011.306154,
"AUT","TOTFLOW","TOT","MLN_USD","A","1975",803.618929,
"AUT","TOTFLOW","TOT","MLN_USD","A","1976",1631.924844,
"AUT","TOTFLOW","TOT","MLN_USD","A","1977",1840.657158,
"AUT","TOTFLOW","TOT","MLN_USD","A","1978",1512.974094,
"AUT","TOTFLOW","TOT","MLN_USD","A","1979",688.628055,
"AUT","TOTFLOW","TOT","MLN_USD","A","1980",628.210403,
"AUT","TOTFLOW","TOT","MLN_USD","A","1981",900.666535,
"AUT","TOTFLOW","TOT","MLN_USD","A","1982",401.571989,
"AUT","TOTFLOW","TOT","MLN_USD","A","1983",388.902563,
"AUT","TOTFLOW","TOT","MLN_USD","A","1984",178.223541,
"AUT","TOTFLOW","TOT","MLN_USD","A","1985",513.146244,
"AUT","TOTFLOW","TOT","MLN_USD","A","1986",306.791023,
"AUT","TOTFLOW","TOT","MLN_USD","A","1987",457.194899,
"AUT","TOTFLOW","TOT","MLN_USD","A","1988",538.348261,
"AUT","TOTFLOW","TOT","MLN_USD","A","1989",280.996028,
"AUT","TOTFLOW","TOT","MLN_USD","A","1990",566.538929,
"AUT","TOTFLOW","TOT","MLN_USD","A","1991",785.066738,
"AUT","TOTFLOW","TOT","MLN_USD","A","1992",875.579697,
"AUT","TOTFLOW","TOT","MLN_USD","A","1993",759.672487,
"AUT","TOTFLOW","TOT","MLN_USD","A","1994",1137.069063,
"AUT","TOTFLOW","TOT","MLN_USD","A","1995",1139.439241,
"AUT","TOTFLOW","TOT","MLN_USD","A","1996",2395.461813,
"AUT","TOTFLOW","TOT","MLN_USD","A","1997",2396.547989,
"AUT","TOTFLOW","TOT","MLN_USD","A","1998",1356.280019,
"AUT","TOTFLOW","TOT","MLN_USD","A","1999",3017.50997,
"AUT","TOTFLOW","TOT","MLN_USD","A","2000",1916.589476,
"AUT","TOTFLOW","TOT","MLN_USD","A","2001",1425.678366,
"AUT","TOTFLOW","TOT","MLN_USD","A","2002",3059.029144,
"AUT","TOTFLOW","TOT","MLN_USD","A","2003",1905.213762,
"AUT","TOTFLOW","TOT","MLN_USD","A","2004",1594.35228,
"AUT","TOTFLOW","TOT","MLN_USD","A","2005",5561.743998,
"AUT","TOTFLOW","TOT","MLN_USD","A","2006",3861.639808,
"AUT","TOTFLOW","TOT","MLN_USD","A","2007",20468.792935,
"AUT","TOTFLOW","TOT","MLN_USD","A","2008",10117.335733,
"AUT","TOTFLOW","TOT","MLN_USD","A","2009",3107.98782,
"AUT","TOTFLOW","TOT","MLN_USD","A","2010",6306.926373,
"AUT","TOTFLOW","TOT","MLN_USD","A","2011",7477.255925,
"AUT","TOTFLOW","TOT","MLN_USD","A","2012",4710.253498,
"AUT","TOTFLOW","TOT","MLN_USD","A","2013",976.292627,
"AUT","TOTFLOW","TOT","MLN_USD","A","2014",3183.966403,
"AUT","TOTFLOW","TOT","MLN_USD","A","2015",5027.700831,
"AUT","TOTFLOW","TOT","MLN_USD","A","2016",3430.602234,
"AUT","TOTFLOW","TOT","MLN_USD","A","2017",2314.547949,
"AUT","TOTFLOW","TOT","MLN_USD","A","2018",2356.374464,
"AUT","TOTFLOW","TOT","MLN_USD","A","2019",2803.33,
"BEL","TOTFLOW","TOT","MLN_USD","A","1960",1779.891275,
"BEL","TOTFLOW","TOT","MLN_USD","A","1961",1583.681223,
"BEL","TOTFLOW","TOT","MLN_USD","A","1962",1121.434571,
"BEL","TOTFLOW","TOT","MLN_USD","A","1963",1611.969059,
"BEL","TOTFLOW","TOT","MLN_USD","A","1964",1445.169453,
"BEL","TOTFLOW","TOT","MLN_USD","A","1965",1842.481818,
"BEL","TOTFLOW","TOT","MLN_USD","A","1966",1431.426654,
"BEL","TOTFLOW","TOT","MLN_USD","A","1967",1277.194281,
"BEL","TOTFLOW","TOT","MLN_USD","A","1968",1848.821157,
"BEL","TOTFLOW","TOT","MLN_USD","A","1969",1889.43803,
"BEL","TOTFLOW","TOT","MLN_USD","A","1970",2142.991874,
"BEL","TOTFLOW","TOT","MLN_USD","A","1971",2043.049827,
"BEL","TOTFLOW","TOT","MLN_USD","A","1972",2220.300974,
"BEL","TOTFLOW","TOT","MLN_USD","A","1973",2296.892282,
"BEL","TOTFLOW","TOT","MLN_USD","A","1974",2408.21205,
"BEL","TOTFLOW","TOT","MLN_USD","A","1975",2939.407793,
"BEL","TOTFLOW","TOT","MLN_USD","A","1976",4041.403312,
"BEL","TOTFLOW","TOT","MLN_USD","A","1977",3723.150674,
"BEL","TOTFLOW","TOT","MLN_USD","A","1978",6716.902256,
"BEL","TOTFLOW","TOT","MLN_USD","A","1979",4927.749928,
"BEL","TOTFLOW","TOT","MLN_USD","A","1980",5942.472039,
"BEL","TOTFLOW","TOT","MLN_USD","A","1981",7012.068815,
"BEL","TOTFLOW","TOT","MLN_USD","A","1982",1877.165377,
"BEL","TOTFLOW","TOT","MLN_USD","A","1983",2296.105518,
"BEL","TOTFLOW","TOT","MLN_USD","A","1984",11318.515382,
"BEL","TOTFLOW","TOT","MLN_USD","A","1985",4153.936006,
"BEL","TOTFLOW","TOT","MLN_USD","A","1986",-1869.529911,
"BEL","TOTFLOW","TOT","MLN_USD","A","1987",-588.118619,
"BEL","TOTFLOW","TOT","MLN_USD","A","1988",3263.725459,
"BEL","TOTFLOW","TOT","MLN_USD","A","1989",2747.814607,
"BEL","TOTFLOW","TOT","MLN_USD","A","1990",136.379509,
"BEL","TOTFLOW","TOT","MLN_USD","A","1991",2369.609198,
"BEL","TOTFLOW","TOT","MLN_USD","A","1992",3051.823538,
"BEL","TOTFLOW","TOT","MLN_USD","A","1993",1063.756591,
"BEL","TOTFLOW","TOT","MLN_USD","A","1994",2983.118492,
"BEL","TOTFLOW","TOT","MLN_USD","A","1995",-279.701274,
"BEL","TOTFLOW","TOT","MLN_USD","A","1996",7002.737915,
"BEL","TOTFLOW","TOT","MLN_USD","A","1997",-15200.163501,
"BEL","TOTFLOW","TOT","MLN_USD","A","1998",11007.297284,
"BEL","TOTFLOW","TOT","MLN_USD","A","1999",8167.294971,
"BEL","TOTFLOW","TOT","MLN_USD","A","2000",3818.579714,
"BEL","TOTFLOW","TOT","MLN_USD","A","2001",513.493012,
"BEL","TOTFLOW","TOT","MLN_USD","A","2002",2111.647432,
"BEL","TOTFLOW","TOT","MLN_USD","A","2003",1579.624976,
"BEL","TOTFLOW","TOT","MLN_USD","A","2004",941.817188,
"BEL","TOTFLOW","TOT","MLN_USD","A","2005",3552.124746,
"BEL","TOTFLOW","TOT","MLN_USD","A","2006",5809.904958,
"BEL","TOTFLOW","TOT","MLN_USD","A","2007",3758.59239,
"BEL","TOTFLOW","TOT","MLN_USD","A","2008",4057.275772,
"BEL","TOTFLOW","TOT","MLN_USD","A","2009",3045.76254,
"BEL","TOTFLOW","TOT","MLN_USD","A","2010",7696.608881,
"BEL","TOTFLOW","TOT","MLN_USD","A","2011",1081.085222,
"BEL","TOTFLOW","TOT","MLN_USD","A","2012",2615.568857,
"BEL","TOTFLOW","TOT","MLN_USD","A","2013",9451.303153,
"BEL","TOTFLOW","TOT","MLN_USD","A","2014",7997.502953,
"BEL","TOTFLOW","TOT","MLN_USD","A","2015",3933.183841,
"BEL","TOTFLOW","TOT","MLN_USD","A","2016",-12174.625301,
"BEL","TOTFLOW","TOT","MLN_USD","A","2017",7928.698182,
"BEL","TOTFLOW","TOT","MLN_USD","A","2018",3756.662747,
"BEL","TOTFLOW","TOT","MLN_USD","A","2019",4316.19,
"CAN","TOTFLOW","TOT","MLN_USD","A","1960",920.064052,
"CAN","TOTFLOW","TOT","MLN_USD","A","1961",617.784306,
"CAN","TOTFLOW","TOT","MLN_USD","A","1962",863.565203,
"CAN","TOTFLOW","TOT","MLN_USD","A","1963",953.505536,
"CAN","TOTFLOW","TOT","MLN_USD","A","1964",1007.612018,
"CAN","TOTFLOW","TOT","MLN_USD","A","1965",1158.572444,
"CAN","TOTFLOW","TOT","MLN_USD","A","1966",1773.999986,
"CAN","TOTFLOW","TOT","MLN_USD","A","1967",1678.050612,
"CAN","TOTFLOW","TOT","MLN_USD","A","1968",1961.466536,
"CAN","TOTFLOW","TOT","MLN_USD","A","1969",1910.22186,
"CAN","TOTFLOW","TOT","MLN_USD","A","1970",3287.022411,
"CAN","TOTFLOW","TOT","MLN_USD","A","1971",4502.417572,
"CAN","TOTFLOW","TOT","MLN_USD","A","1972",4484.927518,
"CAN","TOTFLOW","TOT","MLN_USD","A","1973",4600.323064,
"CAN","TOTFLOW","TOT","MLN_USD","A","1974",5937.848734,
"CAN","TOTFLOW","TOT","MLN_USD","A","1975",6723.337483,
"CAN","TOTFLOW","TOT","MLN_USD","A","1976",6911.415172,
"CAN","TOTFLOW","TOT","MLN_USD","A","1977",6972.809559,
"CAN","TOTFLOW","TOT","MLN_USD","A","1978",7300.426428,
"CAN","TOTFLOW","TOT","MLN_USD","A","1979",6731.019438,
"CAN","TOTFLOW","TOT","MLN_USD","A","1980",8164.362934,
"CAN","TOTFLOW","TOT","MLN_USD","A","1981",13699.89099,
"CAN","TOTFLOW","TOT","MLN_USD","A","1982",4143.893045,
"CAN","TOTFLOW","TOT","MLN_USD","A","1983",5411.543814,
"CAN","TOTFLOW","TOT","MLN_USD","A","1984",5994.954899,
"CAN","TOTFLOW","TOT","MLN_USD","A","1985",3674.494105,
"CAN","TOTFLOW","TOT","MLN_USD","A","1986",3342.81437,
"CAN","TOTFLOW","TOT","MLN_USD","A","1987",5687.822627,
"CAN","TOTFLOW","TOT","MLN_USD","A","1988",5137.087651,
"CAN","TOTFLOW","TOT","MLN_USD","A","1989",4370.676672,
"CAN","TOTFLOW","TOT","MLN_USD","A","1990",5267.654765,
"CAN","TOTFLOW","TOT","MLN_USD","A","1991",5809.475987,
"CAN","TOTFLOW","TOT","MLN_USD","A","1992",6262.891284,
"CAN","TOTFLOW","TOT","MLN_USD","A","1993",8386.103741,
"CAN","TOTFLOW","TOT","MLN_USD","A","1994",9337.238473,
"CAN","TOTFLOW","TOT","MLN_USD","A","1995",9318.869182,
"CAN","TOTFLOW","TOT","MLN_USD","A","1996",10623.925302,
"CAN","TOTFLOW","TOT","MLN_USD","A","1997",16817.817781,
"CAN","TOTFLOW","TOT","MLN_USD","A","1998",15803.922098,
"CAN","TOTFLOW","TOT","MLN_USD","A","1999",11768.180924,
"CAN","TOTFLOW","TOT","MLN_USD","A","2000",10455.957368,
"CAN","TOTFLOW","TOT","MLN_USD","A","2001",2544.787142,
"CAN","TOTFLOW","TOT","MLN_USD","A","2002",3386.495359,
"CAN","TOTFLOW","TOT","MLN_USD","A","2003",7081.334373,
"CAN","TOTFLOW","TOT","MLN_USD","A","2004",7707.174693,
"CAN","TOTFLOW","TOT","MLN_USD","A","2005",15550.511739,
"CAN","TOTFLOW","TOT","MLN_USD","A","2006",15103.810095,
"CAN","TOTFLOW","TOT","MLN_USD","A","2007",16700.803175,
"CAN","TOTFLOW","TOT","MLN_USD","A","2008",22546.585026,
"CAN","TOTFLOW","TOT","MLN_USD","A","2009",7468.400721,
"CAN","TOTFLOW","TOT","MLN_USD","A","2010",20224.853771,
"CAN","TOTFLOW","TOT","MLN_USD","A","2011",11255.025896,
"CAN","TOTFLOW","TOT","MLN_USD","A","2012",14152.169222,
"CAN","TOTFLOW","TOT","MLN_USD","A","2013",8736.515652,
"CAN","TOTFLOW","TOT","MLN_USD","A","2014",15800.236867,
"CAN","TOTFLOW","TOT","MLN_USD","A","2015",3835.840659,
"CAN","TOTFLOW","TOT","MLN_USD","A","2016",10645.519779,
"CAN","TOTFLOW","TOT","MLN_USD","A","2017",4413.228712,
"CAN","TOTFLOW","TOT","MLN_USD","A","2018",8844.633405,
"CAN","TOTFLOW","TOT","MLN_USD","A","2019",4620.04,
"CZE","TOTFLOW","TOT","MLN_USD","A","1993",60.703904,
"CZE","TOTFLOW","TOT","MLN_USD","A","1994",68.154171,
"CZE","TOTFLOW","TOT","MLN_USD","A","1998",33.920478,
"CZE","TOTFLOW","TOT","MLN_USD","A","1999",32.302573,
"CZE","TOTFLOW","TOT","MLN_USD","A","2000",38.687023,
"CZE","TOTFLOW","TOT","MLN_USD","A","2001",59.496173,
"CZE","TOTFLOW","TOT","MLN_USD","A","2002",85.437522,
"CZE","TOTFLOW","TOT","MLN_USD","A","2003",144.599158,
"CZE","TOTFLOW","TOT","MLN_USD","A","2004",151.788216,
"CZE","TOTFLOW","TOT","MLN_USD","A","2005",176.438656,
"CZE","TOTFLOW","TOT","MLN_USD","A","2006",196.749047,
"CZE","TOTFLOW","TOT","MLN_USD","A","2007",189.825588,
"CZE","TOTFLOW","TOT","MLN_USD","A","2008",221.629345,
"CZE","TOTFLOW","TOT","MLN_USD","A","2009",203.766517,
"CZE","TOTFLOW","TOT","MLN_USD","A","2010",220.106669,
"CZE","TOTFLOW","TOT","MLN_USD","A","2011",224.42305,
"CZE","TOTFLOW","TOT","MLN_USD","A","2012",214.476625,
"CZE","TOTFLOW","TOT","MLN_USD","A","2013",203.365874,
"CZE","TOTFLOW","TOT","MLN_USD","A","2014",105.475517,
"CZE","TOTFLOW","TOT","MLN_USD","A","2015",308.31849,
"CZE","TOTFLOW","TOT","MLN_USD","A","2016",256.637815,
"CZE","TOTFLOW","TOT","MLN_USD","A","2017",134.294836,
"CZE","TOTFLOW","TOT","MLN_USD","A","2018",127.264462,
"CZE","TOTFLOW","TOT","MLN_USD","A","2019",285.16,
"DNK","TOTFLOW","TOT","MLN_USD","A","1960",599.048951,
"DNK","TOTFLOW","TOT","MLN_USD","A","1961",505.597634,
"DNK","TOTFLOW","TOT","MLN_USD","A","1962",144.718855,
"DNK","TOTFLOW","TOT","MLN_USD","A","1963",118.856452,
"DNK","TOTFLOW","TOT","MLN_USD","A","1964",451.503421,
"DNK","TOTFLOW","TOT","MLN_USD","A","1965",134.947041,
"DNK","TOTFLOW","TOT","MLN_USD","A","1966",204.147008,
"DNK","TOTFLOW","TOT","MLN_USD","A","1967",229.643022,
"DNK","TOTFLOW","TOT","MLN_USD","A","1968",782.167447,
"DNK","TOTFLOW","TOT","MLN_USD","A","1969",1330.083526,
"DNK","TOTFLOW","TOT","MLN_USD","A","1970",690.118277,
"DNK","TOTFLOW","TOT","MLN_USD","A","1971",1133.645323,
"DNK","TOTFLOW","TOT","MLN_USD","A","1972",761.038109,
"DNK","TOTFLOW","TOT","MLN_USD","A","1973",1006.877434,
"DNK","TOTFLOW","TOT","MLN_USD","A","1974",917.291476,
"DNK","TOTFLOW","TOT","MLN_USD","A","1975",1015.725167,
"DNK","TOTFLOW","TOT","MLN_USD","A","1976",1722.848144,
"DNK","TOTFLOW","TOT","MLN_USD","A","1977",1460.770696,
"DNK","TOTFLOW","TOT","MLN_USD","A","1978",1949.595852,
"DNK","TOTFLOW","TOT","MLN_USD","A","1979",1847.665947,
"DNK","TOTFLOW","TOT","MLN_USD","A","1980",1914.134055,
"DNK","TOTFLOW","TOT","MLN_USD","A","1981",2595.3236,
"DNK","TOTFLOW","TOT","MLN_USD","A","1982",2393.459684,
"DNK","TOTFLOW","TOT","MLN_USD","A","1983",3194.157186,
"DNK","TOTFLOW","TOT","MLN_USD","A","1984",1983.961807,
"DNK","TOTFLOW","TOT","MLN_USD","A","1985",1391.451155,
"DNK","TOTFLOW","TOT","MLN_USD","A","1986",1097.720208,
"DNK","TOTFLOW","TOT","MLN_USD","A","1987",1596.666922,
"DNK","TOTFLOW","TOT","MLN_USD","A","1988",1292.59643,
"DNK","TOTFLOW","TOT","MLN_USD","A","1989",1660.71314,
"DNK","TOTFLOW","TOT","MLN_USD","A","1990",1612.6661,
"DNK","TOTFLOW","TOT","MLN_USD","A","1991",1646.825502,
"DNK","TOTFLOW","TOT","MLN_USD","A","1992",2274.262828,
"DNK","TOTFLOW","TOT","MLN_USD","A","1993",2112.312127,
"DNK","TOTFLOW","TOT","MLN_USD","A","1994",1927.067611,
"DNK","TOTFLOW","TOT","MLN_USD","A","1995",2285.457038,
"DNK","TOTFLOW","TOT","MLN_USD","A","1996",2511.50669,
"DNK","TOTFLOW","TOT","MLN_USD","A","1997",2773.633995,
"DNK","TOTFLOW","TOT","MLN_USD","A","1998",2603.592029,
"DNK","TOTFLOW","TOT","MLN_USD","A","1999",2942.179855,
"DNK","TOTFLOW","TOT","MLN_USD","A","2000",3615.83289,
"DNK","TOTFLOW","TOT","MLN_USD","A","2001",4410.689254,
"DNK","TOTFLOW","TOT","MLN_USD","A","2002",2433.952255,
"DNK","TOTFLOW","TOT","MLN_USD","A","2003",2405.626742,
"DNK","TOTFLOW","TOT","MLN_USD","A","2004",2980.08832,
"DNK","TOTFLOW","TOT","MLN_USD","A","2005",2439.162819,
"DNK","TOTFLOW","TOT","MLN_USD","A","2006",2872.191893,
"DNK","TOTFLOW","TOT","MLN_USD","A","2007",4595.513814,
"DNK","TOTFLOW","TOT","MLN_USD","A","2008",4489.187551,
"DNK","TOTFLOW","TOT","MLN_USD","A","2009",3370.397614,
"DNK","TOTFLOW","TOT","MLN_USD","A","2010",4380.922362,
"DNK","TOTFLOW","TOT","MLN_USD","A","2011",2439.45799,
"DNK","TOTFLOW","TOT","MLN_USD","A","2012",2192.549752,
"DNK","TOTFLOW","TOT","MLN_USD","A","2013",3839.724541,
"DNK","TOTFLOW","TOT","MLN_USD","A","2014",3647.721906,
"DNK","TOTFLOW","TOT","MLN_USD","A","2015",3038.323405,
"DNK","TOTFLOW","TOT","MLN_USD","A","2016",3442.214448,
"DNK","TOTFLOW","TOT","MLN_USD","A","2017",5997.669854,
"DNK","TOTFLOW","TOT","MLN_USD","A","2018",5459.494117,
"DNK","TOTFLOW","TOT","MLN_USD","A","2019",3120.78,
"FIN","TOTFLOW","TOT","MLN_USD","A","1961",38.365341,
"FIN","TOTFLOW","TOT","MLN_USD","A","1962",21.216882,
"FIN","TOTFLOW","TOT","MLN_USD","A","1963",27.366027,
"FIN","TOTFLOW","TOT","MLN_USD","A","1964",41.169531,
"FIN","TOTFLOW","TOT","MLN_USD","A","1965",2.351808,
"FIN","TOTFLOW","TOT","MLN_USD","A","1966",87.607362,
"FIN","TOTFLOW","TOT","MLN_USD","A","1967",39.378693,
"FIN","TOTFLOW","TOT","MLN_USD","A","1968",82.985324,
"FIN","TOTFLOW","TOT","MLN_USD","A","1969",254.520034,
"FIN","TOTFLOW","TOT","MLN_USD","A","1970",189.670371,
"FIN","TOTFLOW","TOT","MLN_USD","A","1971",218.749319,
"FIN","TOTFLOW","TOT","MLN_USD","A","1972",308.0216,
"FIN","TOTFLOW","TOT","MLN_USD","A","1973",137.252184,
"FIN","TOTFLOW","TOT","MLN_USD","A","1974",266.986071,
"FIN","TOTFLOW","TOT","MLN_USD","A","1975",313.813162,
"FIN","TOTFLOW","TOT","MLN_USD","A","1976",219.059192,
"FIN","TOTFLOW","TOT","MLN_USD","A","1977",218.500728,
"FIN","TOTFLOW","TOT","MLN_USD","A","1978",397.24691,
"FIN","TOTFLOW","TOT","MLN_USD","A","1979",466.678102,
"FIN","TOTFLOW","TOT","MLN_USD","A","1980",453.218224,
"FIN","TOTFLOW","TOT","MLN_USD","A","1981",489.663099,
"FIN","TOTFLOW","TOT","MLN_USD","A","1982",490.210299,
"FIN","TOTFLOW","TOT","MLN_USD","A","1983",524.485843,
"FIN","TOTFLOW","TOT","MLN_USD","A","1984",723.685602,
"FIN","TOTFLOW","TOT","MLN_USD","A","1985",692.686262,
"FIN","TOTFLOW","TOT","MLN_USD","A","1986",843.882431,
"FIN","TOTFLOW","TOT","MLN_USD","A","1987",933.517936,
"FIN","TOTFLOW","TOT","MLN_USD","A","1988",1071.601901,
"FIN","TOTFLOW","TOT","MLN_USD","A","1989",1290.847588,
"FIN","TOTFLOW","TOT","MLN_USD","A","1990",1153.864818,
"FIN","TOTFLOW","TOT","MLN_USD","A","1991",1255.895024,
"FIN","TOTFLOW","TOT","MLN_USD","A","1992",1025.881426,
"FIN","TOTFLOW","TOT","MLN_USD","A","1993",560.866332,
"FIN","TOTFLOW","TOT","MLN_USD","A","1994",825.792148,
"FIN","TOTFLOW","TOT","MLN_USD","A","1995",725.076025,
"FIN","TOTFLOW","TOT","MLN_USD","A","1996",1448.332764,
"FIN","TOTFLOW","TOT","MLN_USD","A","1997",627.249659,
"FIN","TOTFLOW","TOT","MLN_USD","A","1998",2280.462475,
"FIN","TOTFLOW","TOT","MLN_USD","A","1999",1238.763562,
"FIN","TOTFLOW","TOT","MLN_USD","A","2000",1786.332958,
"FIN","TOTFLOW","TOT","MLN_USD","A","2001",2183.442378,
"FIN","TOTFLOW","TOT","MLN_USD","A","2002",-276.877727,
"FIN","TOTFLOW","TOT","MLN_USD","A","2003",-56.339506,
"FIN","TOTFLOW","TOT","MLN_USD","A","2004",1551.184186,
"FIN","TOTFLOW","TOT","MLN_USD","A","2005",1884.932005,
"FIN","TOTFLOW","TOT","MLN_USD","A","2006",1591.382033,
"FIN","TOTFLOW","TOT","MLN_USD","A","2007",2160.489009,
"FIN","TOTFLOW","TOT","MLN_USD","A","2008",-205.085561,
"FIN","TOTFLOW","TOT","MLN_USD","A","2009",3000.91334,
"FIN","TOTFLOW","TOT","MLN_USD","A","2010",4257.946365,
"FIN","TOTFLOW","TOT","MLN_USD","A","2011",931.204317,
"FIN","TOTFLOW","TOT","MLN_USD","A","2012",1470.423132,
"FIN","TOTFLOW","TOT","MLN_USD","A","2013",905.023204,
"FIN","TOTFLOW","TOT","MLN_USD","A","2014",2708.817152,
"FIN","TOTFLOW","TOT","MLN_USD","A","2015",-50.915047,
"FIN","TOTFLOW","TOT","MLN_USD","A","2016",1964.048126,
"FIN","TOTFLOW","TOT","MLN_USD","A","2017",3814.293441,
"FIN","TOTFLOW","TOT","MLN_USD","A","2018",2217.896599,
"FIN","TOTFLOW","TOT","MLN_USD","A","2019",2246.64,
"FRA","TOTFLOW","TOT","MLN_USD","A","1960",11500.506722,
"FRA","TOTFLOW","TOT","MLN_USD","A","1961",11836.859575,
"FRA","TOTFLOW","TOT","MLN_USD","A","1962",11151.495853,
"FRA","TOTFLOW","TOT","MLN_USD","A","1963",9423.048443,
"FRA","TOTFLOW","TOT","MLN_USD","A","1964",9917.399956,
"FRA","TOTFLOW","TOT","MLN_USD","A","1965",9198.141372,
"FRA","TOTFLOW","TOT","MLN_USD","A","1966",9094.379774,
